county,lat,lng
Hancock,41.0019,-83.6665
Raleigh,37.7714,-81.2487
Lonoke,34.7543,-91.8888
Wood,44.4553,-90.0416
Vermilion,40.1834,-87.7328
Tooele,40.4487,-113.1311
Broomfield,39.9541,-105.0527
Somerset,39.9725,-79.0283
Scioto,38.8039,-82.9929
Putnam,29.6087,-81.7443
Kauai,22.04,-159.5961
Robertson,36.5255,-86.8706
Fauquier,38.7386,-77.8092
Lea,32.7921,-103.4125
Grand Forks,47.9219,-97.4569
Christian,36.8941,-87.4904
Lauderdale,32.4043,-88.6626
Pottawatomie,35.2066,-96.9484
Riley,39.2966,-96.7352
Creek,35.9026,-96.3709
McKinley,35.5807,-108.2618
Morgan,39.4816,-86.4462
DeKalb,34.4598,-85.8041
Lewis and Clark,47.1224,-112.3904
Surry,36.4146,-80.688
Boone,40.0508,-86.4687
Franklin,42.5831,-72.5918
Greene,36.1753,-82.8458
Portage,44.476,-89.5014
York,37.2431,-76.5635
Wise,33.2159,-97.6545
Iberia,29.8967,-91.7308
Columbia,30.2242,-82.6215
Franklin,36.0828,-78.2857
Ward,48.2217,-101.5418
Troup,33.0335,-85.0284
Klamath,42.6864,-121.6501
Greenwood,34.1537,-82.1259
Harrison,32.5481,-94.3715
Blue Earth,44.0346,-94.067
San Patricio,28.0092,-97.5188
Carteret,34.8357,-76.6589
Allegany,39.6214,-78.6976
Shiawassee,42.9537,-84.1467
Walker,34.7356,-85.301
Catoosa,34.9036,-85.1382
Lake,39.1,-122.7534
Madison,42.9128,-75.6696
Oldham,38.3994,-85.4483
Otero,32.6132,-105.7414
Butler,37.7812,-96.839
McCracken,37.054,-88.7128
Laurens,34.4834,-82.0057
Spalding,33.2609,-84.2841
Aroostook,46.6589,-68.5989
Rice,44.3543,-93.2967
Jones,31.6225,-89.1688
Williamson,37.7303,-88.9299
Jefferson,34.2683,-91.9304
Montcalm,43.311,-85.1525
St. Francois,37.8102,-90.4722
Ionia,42.9451,-85.0746
Muskogee,35.6162,-95.3795
Grant,40.5158,-85.6547
Crow Wing,46.4824,-94.0709
Belmont,40.0158,-80.9885
Wayne,39.8644,-85.0098
Marquette,46.4313,-87.6416
Chippewa,45.0694,-91.2799
Wilkes,36.2062,-81.163
Apache,35.3955,-109.4888
Mason,47.3483,-123.193
Harrison,39.2835,-80.3799
Lincoln,43.2789,-96.7218
Kershaw,34.3388,-80.5902
Starr,26.5621,-98.7387
Warren,43.561,-73.846
Sauk,43.4267,-89.9482
Adams,39.9879,-91.1885
Liberty,31.8282,-81.4949
Armstrong,40.8121,-79.4646
Tehama,40.1256,-122.2341
Marion,40.5872,-83.1609
Effingham,32.3674,-81.3414
Clay,46.8923,-96.4906
Jefferson,40.385,-80.761
Pulaski,37.1039,-84.5772
Carbon,40.9182,-75.7088
Walker,33.8033,-87.2973
Isabella,43.6406,-84.8468
Columbia,41.0486,-76.4052
Coos,43.1742,-124.0594
Salem,39.5876,-75.3491
Nacogdoches,31.616,-94.6159
San Benito,36.6057,-121.075
Chaves,33.3633,-104.4669
Rutherford,35.4026,-81.9198
Hamblen,36.2171,-83.2667
Lamar,31.206,-89.5087
Warrick,38.0922,-87.2721
Belknap,43.5179,-71.4227
Georgetown,33.4343,-79.3326
Lee,35.4752,-79.1715
Pope,35.4479,-93.0345
Union,40.2994,-83.3716
Darlington,34.3325,-79.9577
Stanly,35.3119,-80.251
Knox,40.3988,-82.4215
Barry,42.595,-85.309
Hall,40.8726,-98.5022
Hood,32.4299,-97.8323
Garfield,36.3791,-97.7827
Laurel,37.1107,-84.1178
Haywood,35.556,-82.9822
Walla Walla,46.2298,-118.4784
Livingston,42.7281,-77.7755
Reno,37.953,-98.086
Garfield,39.5993,-107.9039
Pender,34.5249,-77.9052
Cumberland,35.9504,-84.9984
Columbia,42.2501,-73.6318
Washington,43.3137,-73.4308
Athens,39.3339,-82.0452
Eddy,32.4714,-104.3044
Granville,36.304,-78.6527
Tipton,35.4973,-89.7566
